day,truck_id,forest_id,trip_number,total_trips_for_truck,cbm_per_truck,profit
1,1,RTC - Makabana,1,1,45,830.25
1,2,Ciplac - C.Leroy,1,1,45,1219.5
1,3,HuaJia,1,3,45,955.35
1,4,MPB - Mabanda,1,1,45,2404.5801524999997
1,5,Ciplac - C.Leroy,1,1,45,1219.5
1,6,MPB - Mabanda,1,1,45,2404.5801524999997
1,7,Ciplac - C.Leroy,1,1,45,1219.5
1,8,HuaJia,1,3,45,955.35
1,9,Somivab -Biliba,1,1,45,1717.5572518499998
1,10,Ciplac - C.Leroy,1,1,45,1219.5
1,11,Coco beach - AV,1,2,45,2564.1
1,12,HuaJia,1,3,45,2866.05
1,13,MPB - Mabanda,1,1,45,2404.5801524999997
1,14,Coco beach - AV,1,2,45,2564.1
1,15,Coco beach - AV,1,2,45,2564.1
1,16,Ciplac - C.Leroy,1,1,45,1219.5
1,17,HuaJia,1,3,45,955.35
1,18,MPB - Mabanda,1,1,45,2404.5801524999997
1,19,PFM,1,3,45,5188.05
1,20,HuaJia,1,3,45,1910.7
1,21,HuaJia,1,3,45,1910.7
1,22,HuaJia,1,3,45,1910.7
1,23,Ciplac - C.Leroy,1,1,45,1219.5
1,24,MPB - Mabanda,1,1,45,2404.5801524999997
1,25,MPB - Mabanda,1,1,45,2404.5801524999997
1,26,MPB - Mabanda,1,1,45,2404.5801524999997
1,27,PFM,1,3,45,5188.05
1,28,Coco beach - AV,1,2,45,2564.1
1,29,HuaJia,1,3,45,955.35
1,30,MPB - Mabanda,1,1,45,2404.5801524999997
1,31,PFM,1,3,45,5188.05
1,32,Coco beach - AV,1,2,45,2564.1
1,33,Ciplac - C.Leroy,1,1,45,1219.5
1,34,Coco beach - AV,1,2,45,2564.1
1,35,Ciplac - C.Leroy,1,1,45,1219.5
1,36,Somivab -Biliba,1,1,45,1717.5572518499998
1,37,HuaJia,1,3,45,1910.7
1,38,MPB - Mabanda,1,1,45,2404.5801524999997
1,39,Coco beach - AV,1,2,45,2564.1
1,40,HuaJia,1,3,45,955.35
1,41,Coco beach - AV,1,2,45,1282.05
1,42,Ciplac - C.Leroy,1,1,45,1219.5
1,43,Ciplac - C.Leroy,1,1,45,1219.5
1,44,HuaJia,1,3,45,955.35
1,45,RTC - Makabana,1,1,45,830.25
1,46,Ciplac - C.Leroy,1,1,45,1219.5
1,47,HuaJia,1,3,45,955.35
1,48,HuaJia,1,3,45,955.35
1,49,HuaJia,1,3,45,955.35
1,50,Ciplac - C.Leroy,1,1,45,1219.5
1,51,MPB - Mabanda,1,1,55,2938.9312975
1,52,HuaJia,1,3,55,1167.65
1,53,MPB - Mabanda,1,1,55,2938.9312975
1,54,Somivab -Biliba,1,1,55,2099.2366411499997
1,55,PFM,1,3,55,6340.95
1,56,MPB - Mabanda,1,1,55,2938.9312975
1,57,Ciplac - C.Leroy,1,1,55,1490.5
1,58,Coco beach - AV,1,2,55,3133.8999999999996
1,59,HuaJia,1,3,55,2335.3
1,60,Ciplac - C.Leroy,1,1,55,1490.5
1,61,Coco beach - AV,1,2,55,1566.9499999999998
1,62,MPB - Mabanda,1,1,55,2938.9312975
1,63,Ciplac - C.Leroy,1,1,55,1490.5
1,64,MPB - Mabanda,1,1,55,2938.9312975
1,65,Ciplac - C.Leroy,1,1,55,1490.5
1,66,Coco beach - AV,1,2,55,1566.9499999999998
1,67,Somivab -Biliba,1,1,55,2099.2366411499997
1,68,MPB - Mabanda,1,1,55,2938.9312975
1,69,Ciplac - C.Leroy,1,1,55,1490.5
1,70,MPB - Mabanda,1,1,55,2938.9312975
1,71,Coco beach - AV,1,2,55,1566.9499999999998
1,72,MPB - Mabanda,1,1,55,2938.9312975
1,73,HuaJia,1,3,55,3502.9500000000003
1,74,MPB - Mabanda,1,1,55,2938.9312975
1,75,Somivab -Biliba,1,1,55,2099.2366411499997
1,76,MPB - Mabanda,1,1,55,2938.9312975
1,77,MPB - Mabanda,1,1,55,2938.9312975
1,78,PFM,1,3,55,6340.95
1,79,Ciplac - C.Leroy,1,1,55,1490.5
1,80,Ciplac - C.Leroy,1,1,55,1490.5
1,81,MPB - Mabanda,1,1,55,2938.9312975
1,82,HuaJia,1,3,55,1167.65
1,83,MPB - Mabanda,1,1,55,2938.9312975
1,84,Coco beach - AV,1,2,55,3133.8999999999996
1,85,HuaJia,1,3,55,1167.65
1,86,Somivab -Biliba,1,1,55,2099.2366411499997
1,87,Ciplac - C.Leroy,1,1,55,1490.5
1,88,Somivab -Biliba,1,1,55,2099.2366411499997
1,89,MPB - Mabanda,1,1,55,2938.9312975
1,90,HuaJia,1,3,55,1167.65
1,91,HuaJia,1,3,55,3502.9500000000003
1,92,Ciplac - C.Leroy,1,1,55,1490.5
1,93,HuaJia,1,3,55,3502.9500000000003
1,94,MPB - Mabanda,1,1,55,2938.9312975
1,95,Coco beach - AV,1,2,55,3133.8999999999996
1,96,MPB - Mabanda,1,1,55,2938.9312975
1,97,PFM,1,3,55,6340.95
1,98,MPB - Mabanda,1,1,55,2938.9312975
1,99,RTC - Makabana,1,1,55,1014.75
1,100,RTC - Makabana,1,1,55,1014.75
1,101,Coco beach - AV,1,2,55,3133.8999999999996
1,102,Ciplac - C.Leroy,1,1,55,1490.5
1,103,MPB - Mabanda,1,1,55,2938.9312975
1,104,MPB - Mabanda,1,1,55,2938.9312975
1,105,MPB - Mabanda,1,1,55,2938.9312975
1,106,HuaJia,1,3,55,3502.9500000000003
1,107,Ciplac - C.Leroy,1,1,55,1490.5
1,108,MPB - Mabanda,1,1,55,2938.9312975
1,109,Somivab -Biliba,1,1,55,2099.2366411499997
1,110,Ciplac - C.Leroy,1,1,55,1490.5
1,111,Ciplac - C.Leroy,1,1,55,1490.5
1,112,MPB - Mabanda,1,1,55,2938.9312975
1,113,MPB - Mabanda,1,1,55,2938.9312975
1,114,MPB - Mabanda,1,1,55,2938.9312975
1,115,MPB - Mabanda,1,1,55,2938.9312975
1,116,Ciplac - C.Leroy,1,1,55,1490.5
1,117,MPB - Mabanda,1,1,55,2938.9312975
1,118,MPB - Mabanda,1,1,55,2938.9312975
1,119,MPB - Mabanda,1,1,55,2938.9312975
1,120,Ciplac - C.Leroy,1,1,55,1490.5
1,121,Ciplac - C.Leroy,1,1,55,1490.5
1,122,Ciplac - C.Leroy,1,1,55,1490.5
1,123,Ciplac - C.Leroy,1,1,55,1490.5
1,124,Coco beach - AV,1,2,55,3133.8999999999996
1,125,MPB - Mabanda,1,1,55,2938.9312975
1,126,Coco beach - AV,1,2,55,3133.8999999999996
1,127,Ciplac - C.Leroy,1,1,55,1490.5
1,128,Ciplac - C.Leroy,1,1,55,1490.5
1,129,Ciplac - C.Leroy,1,1,55,1490.5
1,130,Somivab -Biliba,1,1,55,2099.2366411499997
2,3,PFM,2,3,45,3458.7
2,8,PFM,2,3,45,3458.7
2,11,Coco beach - AV,2,2,45,2564.1
2,12,HuaJia,2,3,45,2866.05
2,14,Coco beach - AV,2,2,45,2564.1
2,15,Coco beach - AV,2,2,45,2564.1
2,17,PFM,2,3,45,3458.7
2,19,PFM,2,3,45,5188.05
2,20,HuaJia,2,3,45,1910.7
2,21,HuaJia,2,3,45,1910.7
2,22,HuaJia,2,3,45,1910.7
2,27,PFM,2,3,45,5188.05
2,28,Coco beach - AV,2,2,45,2564.1
2,29,PFM,2,3,45,3458.7
2,31,PFM,2,3,45,5188.05
2,32,Coco beach - AV,2,2,45,2564.1
2,34,Coco beach - AV,2,2,45,2564.1
2,37,HuaJia,2,3,45,1910.7
2,39,Coco beach - AV,2,2,45,2564.1
2,40,PFM,2,3,45,3458.7
2,41,PFM,2,2,45,1729.35
2,44,PFM,2,3,45,3458.7
2,47,PFM,2,3,45,3458.7
2,48,PFM,2,3,45,3458.7
2,49,PFM,2,3,45,3458.7
2,52,PFM,2,3,55,4227.3
2,55,PFM,2,3,55,6340.95
2,58,Coco beach - AV,2,2,55,3133.8999999999996
2,59,HuaJia,2,3,55,2335.3
2,61,PFM,2,2,55,2113.65
2,66,HuaJia,2,2,55,1167.65
2,71,HuaJia,2,2,55,1167.65
2,73,HuaJia,2,3,55,3502.9500000000003
2,78,PFM,2,3,55,6340.95
2,82,PFM,2,3,55,4227.3
2,84,Coco beach - AV,2,2,55,3133.8999999999996
2,85,PFM,2,3,55,4227.3
2,90,PFM,2,3,55,4227.3
2,91,HuaJia,2,3,55,3502.9500000000003
2,93,HuaJia,2,3,55,3502.9500000000003
2,95,Coco beach - AV,2,2,55,3133.8999999999996
2,97,PFM,2,3,55,6340.95
2,101,Coco beach - AV,2,2,55,3133.8999999999996
2,106,HuaJia,2,3,55,3502.9500000000003
2,124,Coco beach - AV,2,2,55,3133.8999999999996
2,126,Coco beach - AV,2,2,55,3133.8999999999996
3,3,PFM,3,3,45,3458.7
3,8,PFM,3,3,45,3458.7
3,12,HuaJia,3,3,45,2866.05
3,17,PFM,3,3,45,3458.7
3,19,PFM,3,3,45,5188.05
3,20,PFM,3,3,45,1729.35
3,21,PFM,3,3,45,1729.35
3,22,PFM,3,3,45,1729.35
3,27,PFM,3,3,45,5188.05
3,29,PFM,3,3,45,3458.7
3,31,PFM,3,3,45,5188.05
3,37,PFM,3,3,45,1729.35
3,40,PFM,3,3,45,3458.7
3,44,PFM,3,3,45,3458.7
3,47,PFM,3,3,45,3458.7
3,48,PFM,3,3,45,3458.7
3,49,PFM,3,3,45,3458.7
3,52,PFM,3,3,55,4227.3
3,55,PFM,3,3,55,6340.95
3,59,PFM,3,3,55,2113.65
3,73,HuaJia,3,3,55,3502.9500000000003
3,78,PFM,3,3,55,6340.95
3,82,PFM,3,3,55,4227.3
3,85,PFM,3,3,55,4227.3
3,90,PFM,3,3,55,4227.3
3,91,HuaJia,3,3,55,3502.9500000000003
3,93,HuaJia,3,3,55,3502.9500000000003
3,97,PFM,3,3,55,6340.95
3,106,HuaJia,3,3,55,3502.9500000000003
